valor,rsi,b7l,b7u,b21l,b21u,ema100,ema200
"[139.985495, 48.909985935297975, 139.77370486583783, 140.15055370559077, 139.77625503685195, 140.34152829648136, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.985855, 49.01754385964488, 139.77376846312487, 140.15059296544658, 139.7762904327825, 140.34152718626507, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.985845, 49.01456225510593, 139.77376669759298, 140.15059187383565, 139.7762894511513, 140.34152721551536, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.985845, 49.01456225510593, 139.77376669759298, 140.15059187383565, 139.7762894511513, 140.34152721551536, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.986895, 49.3257382004194, 139.7739517478363, 140.15070682359232, 139.77639202651628, 140.34152464015037, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.978805, 47.02145922746649, 139.77250875905136, 140.14983838380581, 139.7755758766723, 140.3415703138039, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.981955, 47.88461538461522, 139.7730753166763, 140.15017182618087, 139.77590071310968, 140.3415454773665, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.977395, 46.6450953678481, 139.7722532179651, 140.14969106774925, 139.77542756504283, 140.34158433971902, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.974705, 45.943528096170496, 139.77176237497676, 140.149413339309, 139.77513963389367, 140.34161608039204, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.977025, 46.54732906588087, 139.77218596265422, 140.1496526087744, 139.7753883487432, 140.34158831792348, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.979055, 47.08882521489677, 139.77255394266732, 140.14986462876132, 139.7756019854295, 140.3415680145705, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.979545, 47.22142405608938, 139.77264239321397, 140.14991617821465, 139.7756529945828, 140.34156367208385, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.985165, 48.81099172097767, 139.77364649941288, 140.15051778630144, 139.77622248721457, 140.34152941754735, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
